Ref;Location;lat;long;Region;Bioregion;Depth;Specie;Genus;Life-form;DBD;Mud %;CaCO3;OM;Corg
40;;;;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;1.6;;;1.6;0.43
40;;;;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;1.5;;;2.3;0.71
40;;;;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;1.4;;;2;0.59
40;;;;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;1.1;;;5.4;1.95
40;;;;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;1.3;;;3.5;1.19
40;;;;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;1.4;;;2;0.59
40;;;;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;1.4;;;2.1;0.63
40;;;;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;1.5;;;1.5;0.39
40;;;;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;1.4;;;2.5;0.79
40;;;;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;1.7;;;1.3;0.31
41;Robbins_Passage;-40.73913783;144.9348523;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;;;1.18
41;Robbins_Passage;;;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;;;2.22
41;Robbins_Passage;;;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;;;3.14
41;Robbins_Passage;;;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;;;0.95
41;Robbins_Passage;;;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;;;1.17
41;Robbins_Passage;;;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;;;0.94
41;Robbins_Passage;;;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;;;2.7
41;Robbins_Passage;;;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;;;1.51
41;Robbins_Passage;;;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;;;2.74
41;Robbins_Passage;;;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;;;2.9
41;Robbins_Passage;;;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;;;2.31
41;Robbins_Passage;;;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;;;1.97
42;;37.0182301;-8.003053557;Atlantic Europe;Temperate North Atlantic;intertidal;Zostera noltii;Zostera spp.;Opportinistic;;86.5;6.3;;
42;;;;Atlantic Europe;Temperate North Atlantic;intertidal;Zostera noltii;Zostera spp.;Opportinistic;;81.6;8.6;;
42;;;;Atlantic Europe;Temperate North Atlantic;intertidal;Zostera noltii;Zostera spp.;Opportinistic;;87.6;8.1;;
42;;;;Atlantic Europe;Temperate North Atlantic;intertidal;Zostera noltii;Zostera spp.;Opportinistic;;65.8;5.2;;
43;;20.17351837;-16.57608663;NW Africa;Mediterranean;;Zostera noltii;Zostera spp.;Opportinistic;;49.09;;0.61;0.034
44;;-6.011099012;106.1858095;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;93.1;;;
44;;;;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;27.2;;;
44;;;;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;1.96;;;
45;;40.65481902;-8.678724985;Atlantic Europe;Temperate North Atlantic;;Zostera noltii;Zostera spp.;Opportinistic;;40.7;;7.6;2.83
46;;59.61;25.004;Baltic Sea;Temperate North Atlantic;4;Zostera marina;Zostera spp.;Opportinistic;;1.25;;;0.54
46;;;;Baltic Sea;Temperate North Atlantic;4;Zostera marina;Zostera spp.;Opportinistic;;1.64;;;0.6
46;;;;Baltic Sea;Temperate North Atlantic;4;Zostera marina;Zostera spp.;Opportinistic;;1.73;;;0.55
46;;;;Baltic Sea;Temperate North Atlantic;4;Zostera marina;Zostera spp.;Opportinistic;;1.64;;;0.57
48;Ramla_Bay;35.90588782;14.42429561;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.269718
48;Mellieha_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.227569
48;Mellieha_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.889202
48;Mellieha_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.267248
48;White_Rocks;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.180116
48;White_Rocks;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.147826
48;White_Rocks;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.394323
48;White_Rocks;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.272289
48;White_Rocks;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.547251
48;White_Rocks;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.231901
48;Thomas_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.23431
48;Ramla_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.152441
48;Thomas_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.206737
48;Thomas_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.604097
48;Thomas_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.20864
48;Thomas_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.700583
48;Thomas_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.394749
48;Ramla_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.535732
48;Ramla_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.182646
48;Ramla_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.542433
48;Ramla_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.194186
48;Mellieha_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.522026
48;Mellieha_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.173698
48;Mellieha_Bay;;;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.448457
49;Papanui_Inlet;-45.84762015;170.6989819;E Australia;Temperate Southern Oceans;;Zostera muelleri;Zostera spp.;Opportinistic;;0.79;;1.05;0.21
49;Papanui_Inlet;;;E Australia;Temperate Southern Oceans;;Zostera muelleri;Zostera spp.;Opportinistic;;2.835;;0.435;0
49;Papanui_Inlet;;;E Australia;Temperate Southern Oceans;;Zostera muelleri;Zostera spp.;Opportinistic;;12.64;;1.145;0.248
50;Pulau_Tinggi_Malasia;2.28357695;104.1187399;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;2.28;;5.2;0.22
51;;41.66281322;12.1972261;Mediterranean Sea;Mediterranean;7.5;Posidonia oceanica;Posidonia spp.;Persistent;;0.3;60.2;;
51;;;;Mediterranean Sea;Mediterranean;8;Posidonia oceanica;Posidonia spp.;Persistent;;0.7;58.3;;
51;;;;Mediterranean Sea;Mediterranean;9;Posidonia oceanica;Posidonia spp.;Persistent;;0.8;41.7;;
51;;;;Mediterranean Sea;Mediterranean;9;Posidonia oceanica;Posidonia spp.;Persistent;;0.7;52.7;;
51;;;;Mediterranean Sea;Mediterranean;10;Posidonia oceanica;Posidonia spp.;Persistent;;1.9;45.7;;
51;;;;Mediterranean Sea;Mediterranean;10;Posidonia oceanica;Posidonia spp.;Persistent;;1.3;64.1;;
51;;;;Mediterranean Sea;Mediterranean;10;Posidonia oceanica;Posidonia spp.;Persistent;;0.9;44.2;;
51;;;;Mediterranean Sea;Mediterranean;10.5;Posidonia oceanica;Posidonia spp.;Persistent;;0.6;67.3;;
51;;;;Mediterranean Sea;Mediterranean;11;Posidonia oceanica;Posidonia spp.;Persistent;;0.7;59.8;;
51;;;;Mediterranean Sea;Mediterranean;11.5;Posidonia oceanica;Posidonia spp.;Persistent;;0.9;56.5;;
51;;;;Mediterranean Sea;Mediterranean;12;Posidonia oceanica;Posidonia spp.;Persistent;;2.2;60.8;;
51;;;;Mediterranean Sea;Mediterranean;12.5;Posidonia oceanica;Posidonia spp.;Persistent;;4.1;43.8;;
51;;;;Mediterranean Sea;Mediterranean;13.5;Posidonia oceanica;Posidonia spp.;Persistent;;4.6;36.7;;
51;;;;Mediterranean Sea;Mediterranean;5;Posidonia oceanica;Posidonia spp.;Persistent;;2.6;19.1;;
51;;;;Mediterranean Sea;Mediterranean;6;Posidonia oceanica;Posidonia spp.;Persistent;;2.3;15.5;;
51;;;;Mediterranean Sea;Mediterranean;7;Posidonia oceanica;Posidonia spp.;Persistent;;3.8;13.8;;
51;;;;Mediterranean Sea;Mediterranean;8;Posidonia oceanica;Posidonia spp.;Persistent;;3;12.2;;
51;;;;Mediterranean Sea;Mediterranean;9;Posidonia oceanica;Posidonia spp.;Persistent;;1.4;12.3;;
51;;;;Mediterranean Sea;Mediterranean;10;Posidonia oceanica;Posidonia spp.;Persistent;;1.7;9.4;;
51;;;;Mediterranean Sea;Mediterranean;11;Posidonia oceanica;Posidonia spp.;Persistent;;1.4;9.6;;
51;;;;Mediterranean Sea;Mediterranean;12;Posidonia oceanica;Posidonia spp.;Persistent;;1.6;10.6;;
51;;;;Mediterranean Sea;Mediterranean;13;Posidonia oceanica;Posidonia spp.;Persistent;;2.4;19.5;;
51;;;;Mediterranean Sea;Mediterranean;14;Posidonia oceanica;Posidonia spp.;Persistent;;1.8;10.5;;
51;;;;Mediterranean Sea;Mediterranean;15;Posidonia oceanica;Posidonia spp.;Persistent;;3.8;11.9;;
51;;;;Mediterranean Sea;Mediterranean;15.8;Posidonia oceanica;Posidonia spp.;Persistent;;10.8;50;;
51;;;;Mediterranean Sea;Mediterranean;17;Posidonia oceanica;Posidonia spp.;Persistent;;7;31.7;;
51;;;;Mediterranean Sea;Mediterranean;18.4;Posidonia oceanica;Posidonia spp.;Persistent;;7.1;23.3;;
51;;;;Mediterranean Sea;Mediterranean;19.2;Posidonia oceanica;Posidonia spp.;Persistent;;6.3;28.4;;
51;;;;Mediterranean Sea;Mediterranean;20.9;Posidonia oceanica;Posidonia spp.;Persistent;;5.3;22.6;;
51;;;;Mediterranean Sea;Mediterranean;34.5;Posidonia oceanica;Posidonia spp.;Persistent;;12.3;42.3;;
51;;;;Mediterranean Sea;Mediterranean;29;Posidonia oceanica;Posidonia spp.;Persistent;;5.9;62.4;;
51;;;;Mediterranean Sea;Mediterranean;25.6;Posidonia oceanica;Posidonia spp.;Persistent;;6.3;55.2;;
51;;;;Mediterranean Sea;Mediterranean;22;Posidonia oceanica;Posidonia spp.;Persistent;;6.3;33.5;;
52;;38.51513972;-74.82544741;Atlantic Europe;Temperate North Atlantic;Intertidal;Zostera noltii;Zostera spp.;Opportinistic;;47;;;
53;;-32.00754892;115.5122378;W Australia;Temperate Southern Oceans;;Amphibolis antartica;Amphibolis spp.;Opportinistic;;;10.5;;
53;;-34.95599738;118.1912917;W Australia;Temperate Southern Oceans;;Amphibolis antartica;Amphibolis spp.;Opportinistic;;;96.6;;0.39
53;;-34.99735891;117.9493902;W Australia;Temperate Southern Oceans;;Amphibolis antartica;Amphibolis spp.;Opportinistic;;;96.6;;0.38
53;;;;W Australia;Temperate Southern Oceans;;Amphibolis antartica;Amphibolis spp.;Opportinistic;;;39.2;;1.74
53;;;;W Australia;Temperate Southern Oceans;;Halophila ovalis;Halophila spp.;Colonising;;;7.7;;0.17
53;;;;W Australia;Temperate Southern Oceans;;Halophila ovalis;Halophila spp.;Colonising;;;96.7;;0.37
53;;;;W Australia;Temperate Southern Oceans;;Halophila ovalis;Halophila spp.;Colonising;;;96.6;;0.47
53;;;;W Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;21.2;;
53;;;;W Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;96.2;;0.43
53;;;;W Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;96.6;;0.41
53;;;;W Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;;;73.5;;6.99
53;;;;W Australia;Temperate Southern Oceans;;Posidonia sinuosa;Posidonia spp.;Persistent;;;24.3;;
53;;;;W Australia;Temperate Southern Oceans;;Posidonia sinuosa;Posidonia spp.;Persistent;;;96.5;;0.4
53;;;;W Australia;Temperate Southern Oceans;;Posidonia sinuosa;Posidonia spp.;Persistent;;;96.2;;0.45
53;;;;W Australia;Temperate Southern Oceans;;Posidonia sinuosa;Posidonia spp.;Persistent;;;87.9;;5.44
53;;;;W Australia;Temperate Southern Oceans;;Zostera nigricaulis;Zostera spp.;Opportinistic;;;9.3;;0.34
53;;;;W Australia;Temperate Southern Oceans;;Zostera nigricaulis;Zostera spp.;Opportinistic;;;96.6;;0.36
53;;;;W Australia;Temperate Southern Oceans;;Zostera nigricaulis;Zostera spp.;Opportinistic;;;96.5;;0.4
54;;33.59195044;131.3486094;E Asia;Temperate North Pacific;;Zostera marina;Zostera spp.;Opportinistic;0.93;;;;0.01
54;;33.4271859;132.1406762;E Asia;Temperate North Pacific;;Zostera marina;Zostera spp.;Opportinistic;1.03;;;;0.01
54;;34.27725769;132.9437897;E Asia;Temperate North Pacific;;Zostera marina;Zostera spp.;Opportinistic;1.13;;;;0.01
54;;24.48454703;124.2173258;E Asia;Temperate North Pacific;;Zostera marina;Zostera spp.;Opportinistic;0.72;;;;0.01
54;;24.35450128;124.2475382;E Asia;Temperate North Pacific;;Zostera marina;Zostera spp.;Opportinistic;0.61;;;;0.01
54;;9.228595106;98.32021858;E Asia;Temperate North Pacific;;Zostera marina;Zostera spp.;Opportinistic;1.24;;;;0
54;;6.39636815;99.96222978;E Asia;Temperate North Pacific;;mixed;mixed;;1.33;;;;0
54;;;;E Asia;Temperate North Pacific;;mixed;mixed;;1.3;;;;0
54;;;;E Asia;Temperate North Pacific;;mixed;mixed;;1.31;;;;0.01
54;;;;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;1.25;;;;0.01
54;;;;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;1.52;;;;0
54;;;;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;1.44;;;;0.01
55;;1.408649698;103.9909201;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;28;;3;1.1
56;;7.383333;99.333333;SE Asia;Tropical Indo-Pacific;;Halophila ovalis;Halophila spp.;Colonising;;;;1.16;0.25
56;;;;SE Asia;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;;;1.19;0.27
56;;;;SE Asia;Tropical Indo-Pacific;;Cymodocea rotundata;Cymodocea spp.;Opportinistic;;;;1.38;0.34
56;;;;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;;;1.1;0.23
56;;;;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;;;1.16;0.25
56;;;;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;;;1.18;0.26
56;;;;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;;;1.38;0.34
56;;;;SE Asia;Tropical Indo-Pacific;;Halophila ovalis;Halophila spp.;Colonising;;;;1.45;0.37
56;;;;SE Asia;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;;;1.12;0.24
56;;;;SE Asia;Tropical Indo-Pacific;;Cymodocea rotundata;Cymodocea spp.;Opportinistic;;;;0.8;0.11
56;;;;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;;;1.35;0.33
56;;;;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;;;1.18;0.26
56;;;;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;;;1.26;0.29
56;;;;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;;;1.4;0.35
57;Abu al Abyad;24.20126353;53.8112415;SW Asia;Tropical Indo-Pacific;;mixed;mixed;;1.37;;84.6;;0.64
58;;27.2763301;33.83648368;SW Asia;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;8.4;32;2;0.59
58;;;;SW Asia;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;9.4;33.8;1.9;0.55
58;;;;SW Asia;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;10.2;31.8;1.6;0.43
58;;;;SW Asia;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;4;32.8;4.8;1.71
58;;;;SW Asia;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;5;30.4;3.4;1.15
58;;;;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;;5;30.8;4.2;1.47
58;;;;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;;8;32.5;3.9;1.35
58;;;;SW Asia;Tropical Indo-Pacific;;Halodule uninervis;Halodule spp.;Colonising;;7.4;28.5;3.6;1.23
58;;;;SW Asia;Tropical Indo-Pacific;;Halodule uninervis;Halodule spp.;Colonising;;7.5;31.2;4;1.39
58;;;;SW Asia;Tropical Indo-Pacific;;mixed;mixed;;;3.6;39.5;3.8;1.31
58;;;;SW Asia;Tropical Indo-Pacific;;mixed;mixed;;;6;30.2;3.7;1.27
58;;;;SW Asia;Tropical Indo-Pacific;;Halophila ovalis;Halophila spp.;Colonising;;6.7;45;3.4;1.15
58;;;;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;;4.9;42.5;2.9;0.95
58;;;;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;;8;46.7;3.3;1.11
58;;;;SW Asia;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;8;39;2.7;0.87
58;;;;SW Asia;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;6.5;42.2;1.9;0.55
58;;;;SW Asia;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;4;41.5;2;0.59
59;Chwaka Bay;-6.151231337;39.45272303;E Africa;Tropical Indo-Pacific;10;Thalassia hemprichii;Thalassia spp.;Persistent;0.78;;;;1.38
60;Moreton Bay ;-27.30164329;153.2412612;E Australia;Tropical Indo-Pacific;;mixed;mixed;;1.4;0;;1.1;0.1
60;Moreton Bay ;-27.30164329;153.2412612;E Australia;Tropical Indo-Pacific;;mixed;mixed;;1.2;3.3;;2.8;0.5
61;;25.02212945;-80.61004086;Caribean Sea;Tropical Atlantic;;mixed;mixed;;0.59;;;;2.57
62;Coffs Creek Estuary;-30.30768478;153.1461866;E Australia;Temperate Southern Oceans;;Zostera muelleri;Zostera spp.;Opportinistic;1.18;;;;2.28
62;Coffs Creek Estuary;-30.30768478;153.1461866;E Australia;Temperate Southern Oceans;;Zostera muelleri;Zostera spp.;Opportinistic;1.27;;;;1.81
62;Coffs Creek Estuary;-30.30768478;153.1461866;E Australia;Temperate Southern Oceans;;Zostera muelleri;Zostera spp.;Opportinistic;1.56;;;;0.73
62;Coffs Creek Estuary;-30.30768478;153.1461866;E Australia;Temperate Southern Oceans;;Zostera muelleri;Zostera spp.;Opportinistic;1.86;;;;0.22
63;Far”;60.29985923;21.62874405;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.32;5;;0.66;0.13
63;Hummelsk„r;60.29985923;21.62874405;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.33;9;;1.06;0.35
63;J„nisholm;60.29985923;21.62874405;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.37;7.1;;0.93;0.33
63;Kolaviken;60.29985923;21.62874405;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.34;1.9;;0.75;0.13
63;Lyddaren;60.29985923;21.62874405;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.34;4.9;;1.75;0.45
63;Lang”ren;60.29985923;21.62874405;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.42;4.4;;2.7;0.19
63;Ryssholmen;60.29985923;21.62874405;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.34;2.7;;0.89;0.16
63;Sackholm;60.29985923;21.62874405;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.36;12.4;;0.95;0.26
63;Tvarmine;60.29985923;21.62874405;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.33;9.2;;0.88;0.2
63;Angso;60.29985923;21.62874405;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.36;6.3;;0.84;0.2
63;Agero 3;56.70985415;8.573843297;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.24;29.4;;1.94;2.3
63;Agero 12;56.70985415;8.573843297;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.35;27.3;;1.65;0.29
63;Dalby;55.52713697;10.6120391;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.37;8.1;;0.67;0.12
63;Kertinge;55.43822901;10.56805966;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.15;27.1;;12.59;3.23
63;Lovns;56.67160945;9.225822982;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.22;17.3;;2.9;1.53
63;Lunkebugt;54.9927455;10.67503669;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.23;33;;4.72;1.71
63;Logstor;57.00321009;8.999982611;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.23;4;;0.75;0.31
63;Nyborg;55.29978018;10.81529545;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.17;0.5;;0.42;0.1
63;Thurobund;55.02955097;10.67979123;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.27;34.6;;14.48;5.78
63;Visby;56.78116708;8.486492927;Baltic Sea;Temperate North Atlantic;2.5;Zostera marina;Zostera spp.;Opportinistic;1.25;21;;1.17;2.18
64;;58.298611;11.492778;Baltic Sea;Temperate North Atlantic;2.8-3;Zostera marina;Zostera spp.;Opportinistic;0.71;62.8;;;2.79
64;;37.003889;-7.826667;Atlantic Europe;Temperate North Atlantic;1-1.9;Zostera marina;Zostera spp.;Opportinistic;1.13;17.9;;;0.61
64;;58.803889;17.792222;Baltic Sea;Temperate North Atlantic;2.2-3.8;Zostera marina;Zostera spp.;Opportinistic;1.4;3.7;;;0.18
64;;42.330278;27.755556;Baltic Sea;Temperate North Atlantic;2.7-4.2;Zostera marina;Zostera spp.;Opportinistic;1.25;2.6;;;0.17
65;;54.65067969;18.56498395;Baltic Sea;Temperate North Atlantic;1.5;mixed;mixed;;;;;;0.162
65;;54.65067969;18.56498395;Baltic Sea;Temperate North Atlantic;1.5;mixed;mixed;;;;;;0.036
65;;54.65067969;18.56498395;Baltic Sea;Temperate North Atlantic;3;mixed;mixed;;;;;;0.116
66;;;;Mediterranean Sea;Mediterranean;5-8;Posidonia oceanica;Posidonia spp.;Persistent;0.94;3.27;;;
66;;;;Mediterranean Sea;Mediterranean;5-8;Posidonia oceanica;Posidonia spp.;Persistent;1.12;0.55;;;
66;;;;Mediterranean Sea;Mediterranean;5-8;Posidonia oceanica;Posidonia spp.;Persistent;1.22;0.17;;;
67;;30.30434997;-87.41286922;Caribean Sea;Tropical Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;0.745964519;0.088385808
67;;30.30434997;-87.41286922;Caribean Sea;Tropical Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;1.067256313;0.216902525
67;;30.30434997;-87.41286922;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;;;;1.302187057;0.310874823
67;;30.30434997;-87.41286922;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;;;;1.402020863;0.350808345
67;;30.30434997;-87.41286922;Caribean Sea;Tropical Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;1.850053009;0.530021204
67;;30.30434997;-87.41286922;Caribean Sea;Tropical Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;1.583130323;0.423252129
67;;30.30434997;-87.41286922;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;;;;1.16552156;0.256208624
67;;30.30434997;-87.41286922;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;;;;1.478998502;0.381599401
67;;30.30434997;-87.41286922;Caribean Sea;Tropical Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;1.375735772;0.340294309
67;;30.30434997;-87.41286922;Caribean Sea;Tropical Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;1.277434321;0.300973728
67;;30.30434997;-87.41286922;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;;;;2.633924255;0.843569702
67;;30.30434997;-87.41286922;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;;;;2.269642379;0.697856951
68;Kobbe Fjord;64.14875404;-51.55219768;NE America;Temperate North Atlantic;2-4;Zostera marina;Zostera spp.;Opportinistic;1.74;;1.24;0.86;0.14
68;Kobbe Fjord;64.14875404;-51.55219768;NE America;Temperate North Atlantic;2-4;Zostera marina;Zostera spp.;Opportinistic;1.69;;;;
68;Kobbe Fjord;64.14875404;-51.55219768;NE America;Temperate North Atlantic;2-4;Zostera marina;Zostera spp.;Opportinistic;1.59;;1.18;0.94;0.17
68;Kobbe Fjord;64.14875404;-51.55219768;NE America;Temperate North Atlantic;2-4;Zostera marina;Zostera spp.;Opportinistic;1.60;;1.25;1.01;0.19
68;Ameralik;64.24920869;-51.58321006;NE America;Temperate North Atlantic;2-4;Zostera marina;Zostera spp.;Opportinistic;1.73;;0.85;0.46;0.02
68;Ameralik;64.24920869;-51.58321006;NE America;Temperate North Atlantic;2-4;Zostera marina;Zostera spp.;Opportinistic;1.61;;0.90;0.62;0.06
